RedFighter,BlueFighter,AggressionScore,RedFinishingProb,BlueFinishingProb,RedStrikeGrapple,BlueStrikeGrapple,FightPace,SurvivabilityIndex,BettingEdgeIndex
Tom Aspinall,Serghei Spivac,0.012742349464111609,0.6212121212121212,0.26495726495726496,0.1935483870967742,0.4074074074074074,0.45,0.5,0.3668993020937188
Edson Barboza,Giga Chikadze,0.09112296101485616,0.35238095238095235,0.3717948717948718,0.15151515151515152,0.07407407407407407,0.13266666666666665,0.7822222222222223,0.06775067750677505
Kevin Lee,Daniel Rodriguez,0.06297335605699649,0.375,0.2913816689466484,0.7,0.17098445595854922,0.1,1,0.14739229024943312
Jared Cannonier,Kelvin Gastelum,0.06297335605699649,0.4545454545454546,0.22619047619047616,0.14893617021276595,0.35294117647058826,0,1,0.14739229024943312
Alexandre Pantoja,Brandon Royval,0.039165722796764356,0.38181818181818183,0.26785714285714285,0.47058823529411764,0.5384615384615384,0.2431111111111111,0.6766666666666666,0.22962962962962952
Derrick Lewis,Ciryl Gane,0.9966651926925867,0.27603640040444893,0.5974025974025974,0.13043478260869565,0.16666666666666666,0.10816666666666666,0.9455555555555556,0.47619047619047616
Jose Aldo,Pedro Munhoz,0.52497918747894,0.24064171122994654,0.28181818181818186,0.21951219512195122,0.3333333333333333,0.1,1,0.022688598979013097
Michael Chiesa,Vicente Luque,0.47502081252106,0.3222222222222222,0.3833333333333333,0.72,0.3157894736842105,0.43166666666666664,0.6833333333333333,0.022688598979013097
Tecia Torres,Angela Hill,0.04742587317756678,0.17424242424242425,0.16526610644257703,0.5238095238095238,0.2727272727272727,0.1,1,0.19871794871794873
Uriah Hall,Sean Strickland,0.9791636554813196,0.30512820512820515,0.48846960167714887,0.0990990990990991,0.17098445595854922,0,1,0.313782991202346
Cory Sandhagen,TJ Dillashaw,0.020836344518680425,0.6190476190476191,0.2833333333333333,0.15492957746478872,0.26666666666666666,0,1,0.313782991202346
Kyler Phillips,Raulian Paiva,0.0033348073074133443,0.2909090909090909,0.19090909090909092,0.2857142857142857,0.47368421052631576,0.1,1,0.47619047619047616
Miranda Maverick,Maycee Barber,0.05215356307841774,0.25098039215686274,0.24848484848484848,0.5357142857142857,0.24324324324324326,0.1,1,0.182311222361285
Sijara Eubanks,Elise Reed,7.46028833836697e-4,0.4722222222222222,0.1497326203208556,0.46153846153846156,0.38461538461538464,0.42366666666666664,0.7633333333333333,0.5600191296030608
Islam Makhachev,Thiago Moises,3.059022269256247e-7,0.4992248062015504,0.11145510835913312,0.5454545454545454,0.47058823529411764,0.05893333333333333,0.8816666666666667,0.7571428571428571
Marion Reneau,Miesha Tate,0.9661048358408219,0.20833333333333331,0.24358974358974358,0.6111111111111112,0.7058823529411765,0.13116666666666665,0.7922222222222223,0.2507002801120447
Amanda Lemos,Montserrat Conejo,3.199176627183627e-5,0.5303030303030303,0.10644257703081232,0.25925925925925924,0.5555555555555556,0.48833333333333334,0.11666666666666667,0.6702269692923898
Dustin Poirier,Conor McGregor,0.09195454993100434,0.5255066387141859,0.4434782608695652,0.22297297297297297,0.06382978723404255,0.4,1,0.0633187772925764
Gilbert Burns,Stephen Thompson,0.9488262990829084,0.3339130434782609,0.32417582417582413,0.525,0.09090909090909091,0.1,1,0.1835380019913706
Irene Aldana,Yana Kunitskaya,0.5199893401555818,0.2673992673992674,0.18803418803418803,0.26153846153846155,0.4,0.4083333333333333,0.9166666666666666,0.017975508369846183
Jennifer Maia,Jessica Eye,0.026084075146382935,0.23793103448275862,0.16783216783216784,0.5901639344262295,0.45454545454545453,0.1,1,0.28498727735368956
Omari Akhmedov,Brad Tavares,0.9488262990829084,0.25098039215686274,0.27692307692307694,0.4642857142857143,0.25,0.1,1,0.1835380019913706
Ciryl Gane,Alexander Volkov,0.057324175898868755,0.39166666666666666,0.2693498452012384,0.28205128205128205,0.810126582278481,0,1,0.1633986928104576
Julia Avila,Julija Stoliarenko,0.0015011822567369917,0.19569892473118278,0.2761904761904762,0.6746987951807228,0.52,0.10683333333333334,0.9544444444444444,0.5228070175438597
Chan Sung Jung,Dan Ige,0.9488262990829084,0.36428571428571427,0.35757575757575755,0.27906976744186046,0.21568627450980393,0,1,0.1835380019913706
Aleksei Oleinik,Serghei Spivac,0.9905289564180538,NA,0.6444683136412459,NA,0,0.1,1,0.3926940639269407
Marlon Vera,Davey Grant,0.016302499371440946,0.45,0.25874125874125875,0.5714285714285714,0.2727272727272727,0.1,1,0.33982683982683987
Kanako Murata,Virna Jandiroba,0.9248398905178734,0.18181818181818182,0.3791208791208791,0.5,0.8524590163934426,0.19999999999999998,1,0.10989184495144871
Israel Adesanya,Marvin Vettori,0.014774031693273055,0.45263157894736844,0.20526315789473684,0.07692307692307693,0.4857142857142857,0,1,0.35061534433097674
Deiveson Figueiredo,Brandon Moreno,0.030768859357148008,0.5242165242165242,0.22619047619047616,0.2361111111111111,0.35294117647058826,0.12566666666666665,0.8288888888888889,0.26101694915254237
Leon Edwards,Nate Diaz,1.9350764710127034e-4,0.5666666666666667,0.18181818181818182,0.06666666666666667,0.5,0,1,0.6135531135531136
Demian Maia,Belal Muhammad,0.9801596942659225,0.31313131313131315,0.29914529914529914,0.7407407407407407,0.22580645161290322,0.1,1,0.31712962962962965
Paul Craig,Jamahal Hill,0.9922324299219849,0.2738095238095238,0.6270996640537514,0.7213114754098361,0,0.4603333333333333,0.39666666666666667,0.41075268817204297
Lauren Murphy,Joanne Calderwood,0.9340109905087812,0.21764705882352942,0.20526315789473684,0.5454545454545454,0.4857142857142857,0.1,1,0.13594470046082952
Movsar Evloev,Hakeem Dawodu,0.013653659097350888,0.28717948717948716,0.18596491228070175,0.5416666666666666,0.2653061224489796,0.1,1,0.3586601307189542
Pannie Kianzad,Alexis Davis,0.013788988506141561,0.17424242424242425,0.2433179723502304,0.47619047619047616,0.5344827586206896,0.1,1,0.3574502971920475
Jairzinho Rozenstruik,Augusto Sakai,0.4700359482354282,0.47816349384098544,0.35064935064935066,0.06976744186046512,0.22178988326848248,0.4003333333333333,0.9966666666666667,0.026721296873608247
Walt Harris,Marcin Tybura,0.9596895845772907,0.4175438596491228,0.3857142857142857,0.1167192429022082,0.21739130434782608,0.418,0.82,0.22232250300842354
Rob Font,Cody Garbrandt,0.08317269649392238,0.4755244755244755,0.3945355191256831,0.13793103448275862,0.1277258566978193,NA,NA,0.08902691511387173
Yan Xiaonan,Carla Esparza,0.0731011734223782,0.23692307692307693,0.18803418803418803,0.30434782608695654,0.6,NA,NA,0.11722957864240025
Jack Hermansson,Edmen Shahbazyan,0.08017291217281233,0.532695374800638,0.369047619047619,0.7086614173228346,0.18518518518518517,NA,NA,0.09726740403383222
David Dvorak,Juancamilo Ronderos,1.507103580597574e-4,0.5736800630417651,0.20146520146520147,0.19014084507042253,0.7843137254901961,NA,NA,0.62642684192321
Charles Oliveira,Michael Chandler,0.08317269649392238,0.5225806451612903,0.47692307692307695,0.6557377049180327,0.1111111111111111,NA,NA,0.08902691511387173
Tony Ferguson,Beneil Dariush,0.9393460966843479,0.31547619047619047,0.3643724696356275,0.37777777777777777,0.40540540540540543,NA,NA,0.1546130660436249
Matt Schnell,Rogerio Bontorin,0.043107254941086116,0.35384615384615387,0.34814814814814815,0.42105263157894735,0.5897435897435898,NA,NA,0.21447824412783995
Katlyn Chookagian,Viviane Araujo,0.08786391482930125,0.1575757575757576,0.22884012539184953,0.4166666666666667,0.38461538461538464,NA,NA,0.07637957819915309
Shane Burgos,Edson Barboza,0.060653903315652125,0.38431372549019605,0.25882352941176473,0.2682926829268293,0.2,NA,NA,0.1546130660436249
Andrea Lee,Antonina Shevchenko,0.9002495108803148,0.19444444444444442,0.2222222222222222,0.5789473684210527,0.5,NA,NA,0.045454545454545414
Marina Rodriguez,Michelle Waterson,0.013386917827664779,0.3611111111111111,0.17777777777777776,0.2727272727272727,0.6363636363636364,NA,NA,0.36250948646597525
Donald Cerrone,Alex Morono,0.057324175898868755,0.3571428571428571,0.23376623376623376,0.4594594594594595,0.375,NA,NA,0.16521739130434787
Neil Magny,Geoff Neal,0.9720774262159271,0.22903225806451613,0.4303030303030303,0.42857142857142855,0.1111111111111111,NA,NA,0.27450980392156854
Diego Ferreira,Gregor Gillespie,0.9333919644249093,0.3246753246753247,0.25925925925925924,0.5714285714285714,0.41818181818181815,NA,NA,0.13632640905368176
Dominick Reyes,Jiri Prochazka,0.09975048911968513,0.4405594405594406,0.5239398084815321,0.12727272727272726,0.06705539358600583,NA,NA,0.045454545454545414
Giga Chikadze,Cub Swanson,0.01798620996209156,0.3026315789473684,0.2714932126696833,0.14285714285714285,0.4230769230769231,NA,NA,0.33035714285714285
Sean Strickland,Krzysztof Jotko,0.01098694263059318,0.391025641025641,0.21978021978021978,0.16981132075471697,0.3333333333333333,NA,NA,0.3822760750772155
Merab Dvalishvili,Cody Stamann,0.0047257126023954816,0.23026315789473684,0.19457013574660634,0.5483870967741935,0.38461538461538464,NA,NA,0.4537346711259755
Kamaru Usman,Jorge Masvidal,0.003018416324708424,0.35,0.24761904761904763,0.2,0.16666666666666666,NA,NA,0.4841269841269841
